,通知人,标题,日期,详细链接,附件
154,实践科,关于举办福州大学第十九届数学建模竞赛暨2025年“高教社杯”全国大学生数学建模竞赛选拔赛的通知,2025-04-14,https://jwch.fzu.edu.cn//info/1039/13993.htm,"[{'附件名': '【附件.zip】', '下载次数': 420, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15775875'}]"
155,教材中心,关于组织申报2025年度教育部大中小课程教材研究项目的通知,2025-06-06,https://jwch.fzu.edu.cn//info/1042/14105.htm,"[{'附件名': '【附件1.教育部办公厅关于组织申报2025年度教育部大中小学课程教材研究项目的通知.pdf】', '下载次数': 547, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16477964'}, {'附件名': '【附件2.教育部大中小学课程教材研究项目2025年度重大项目和重点项目选题指南.docx】', '下载次数': 386, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16477965'}, {'附件名': '【附件3.教育部大中小学课程教材研究项目2025年度申报书.docx】', '下载次数': 205, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16477966'}, {'附件名': '【附件4.2025年度教育部大中小学课程教材研究项目推荐汇总表.xlsx】', '下载次数': 147, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16477967'}]"
156,教学运行,关于2025年清明节放假课程调整的通知,2025-04-01,https://jwch.fzu.edu.cn//info/1036/13976.htm,[]
157,实践科,关于评选福州大学2025届本科生优秀毕业设计（论文）的通知,2025-05-21,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14070,"[{'附件名': '【附件1：福州大学本科生优秀毕业设计（论文）推荐汇总表.doc】', '下载次数': 308, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15786071'}, {'附件名': '【附件2：福州大学本科生优秀毕业设计（论文）申报表.doc】', '下载次数': 275, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15786070'}, {'附件名': '【附件3：福州大学本科生优秀毕业设计（论文）评审表.doc】', '下载次数': 305, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15786072'}]"
158,实践科,关于组织开展第十八届中国大学生计算机设计大赛校内预选赛的通知,2025-03-31,https://jwch.fzu.edu.cn//info/1039/13973.htm,[]
159,质量办,关于期中党政领导集中听课的通知,2025-04-27,https://jwch.fzu.edu.cn//info/1040/14032.htm,"[{'附件名': '【附件1：福州大学课堂教学质量评估表.doc】', '下载次数': 203, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15781690'}, {'附件名': '【附件2：第10-12周课表.xlsx】', '下载次数': 455, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15781691'}]"
160,计划科,关于2024-2025学年第二学期爱课程平台参加通识教育选修课学习的重要提示,2025-03-11,https://jwch.fzu.edu.cn//info/1038/13907.htm,[]
161,教学运行,关于做好2025-2026学年第一学期排课准备工作的通知,2025-03-11,https://jwch.fzu.edu.cn//info/1036/13908.htm,[]
162,质量办,关于举办福州大学第六十四场“教学有道”研讨活动的通知,2025-03-11,https://jwch.fzu.edu.cn//info/1040/13905.htm,[]
163,质量办,关于开展2025年春季学期本科实验教学专项检查的通知,2025-04-08,https://jwch.fzu.edu.cn//info/1040/13983.htm,"[{'附件名': '【附件.rar】', '下载次数': 413, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15773204'}]"
164,实践科,关于举办福州大学第二十二届程序设计竞赛暨校ACM/ICPC集训队选拔赛的通知,2025-03-24,https://jwch.fzu.edu.cn//info/1039/13948.htm,[]
165,质量办,关于举办第六十五场“教学有道”研讨活动的通知,2025-03-20,https://jwch.fzu.edu.cn//info/1040/13945.htm,[]
166,教学运行,关于2024-2025学年第二学期《线性代数》课程半期考试安排的通知,2025-04-11,https://jwch.fzu.edu.cn//info/1036/13989.htm,"[{'附件名': '【2402线代半期考-4.26晚上.xlsx】', '下载次数': 330, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15775021'}]"
167,实践科,关于组织申报2025年大学生劳动教育实践基地的通知,2025-04-22,https://jwch.fzu.edu.cn//content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14008,"[{'附件名': '【附件：福州大学大学生劳动教育实践基地申报书.docx】', '下载次数': 186, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15780775'}, {'附件名': '【附件：福州大学大学生劳动教育实践基地申报汇总表.docx】', '下载次数': 133, '链接码': '/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=15780881'}]"
